STF,FqFm
391,0.394
392,0.393
393,0.393
394,0.393
395,0.392
396,0.391
397,0.392
398,0.392
399,0.39
400,0.391
401,0.527
402,0.489
403,0.49
404,0.488
405,0.478
406,0.465
407,0.452
408,0.444
409,0.438
410,0.432
411,0.427
412,0.422
413,0.419
414,0.416
415,0.413
416,0.411
417,0.409
418,0.407
419,0.405
420,0.404
421,0.404
422,0.402
423,0.401
424,0.401
425,0.4
426,0.399
427,0.4
428,0.398
429,0.398
430,0.397
431,0.397
432,0.396
433,0.396
434,0.395
435,0.395
436,0.395
437,0.395
438,0.393
439,0.393
440,0.393
441,0.393
442,0.393
443,0.393
444,0.392
445,0.391
446,0.392
447,0.392
448,0.391
449,0.391
450,0.39
451,0.525
452,0.488
453,0.488
454,0.487
455,0.478
456,0.466
457,0.453
458,0.445
459,0.439
460,0.433
461,0.428
462,0.424
463,0.42
464,0.418
465,0.414
466,0.412
467,0.41
468,0.408
469,0.406
470,0.405
471,0.404
472,0.403
473,0.402
474,0.401
475,0.401
476,0.399
477,0.399
478,0.398
479,0.398
480,0.398
481,0.397
482,0.397
483,0.396
484,0.395
485,0.394
486,0.394
487,0.394
488,0.393
489,0.393
490,0.392
491,0.393
492,0.392
493,0.391
494,0.391
495,0.392
496,0.39
497,0.391
498,0.391
499,0.39
500,0.39
501,0.523
502,0.486
503,0.486
504,0.486
505,0.478
506,0.464
507,0.454
508,0.445
509,0.44
510,0.433
511,0.429
512,0.424
513,0.421
514,0.417
515,0.415
516,0.412
517,0.409
518,0.409
519,0.407
520,0.404
521,0.405
522,0.403
523,0.402
524,0.401
525,0.4
526,0.399
527,0.398
528,0.398
529,0.398
530,0.397
531,0.396
532,0.397
533,0.396
534,0.396
535,0.395
536,0.394
537,0.393
538,0.393
539,0.392
540,0.392
541,0.392
542,0.392
543,0.391
544,0.391
545,0.391
546,0.39
547,0.39
548,0.389
549,0.389
550,0.391
551,0.521
552,0.484
553,0.484
554,0.484
555,0.476
556,0.465
557,0.453
558,0.444
559,0.438
560,0.432
561,0.427
562,0.424
563,0.42
564,0.417
565,0.414
566,0.412
567,0.41
568,0.407
569,0.406
570,0.404
571,0.404
572,0.401
573,0.401
574,0.401
575,0.4
576,0.4
577,0.398
578,0.398
579,0.397
580,0.395
581,0.396
582,0.395
583,0.394
584,0.394
585,0.394
586,0.392
587,0.392
588,0.391
589,0.392
590,0.391
591,0.391
592,0.391
593,0.39
594,0.389
595,0.391
596,0.389
597,0.39
598,0.39
599,0.388
600,0.389
601,0.521
602,0.482
603,0.483
604,0.483
605,0.475
606,0.465
607,0.453
608,0.446
609,0.438
610,0.432
611,0.427
612,0.423
613,0.42
614,0.415
615,0.413
616,0.412
617,0.41
618,0.407
619,0.405
620,0.403
621,0.403
622,0.402
623,0.401
624,0.4
625,0.399
626,0.398
627,0.396
628,0.397
629,0.396
630,0.395
631,0.395
632,0.393
633,0.393
634,0.392
635,0.393
636,0.393
637,0.391
638,0.391
639,0.391
640,0.391
641,0.39
642,0.39
643,0.39
644,0.389
645,0.389
646,0.388
647,0.389
648,0.389
649,0.389
650,0.386
651,0.519
652,0.478
653,0.479
654,0.48
655,0.474
656,0.463
657,0.453
658,0.443
659,0.437
660,0.431
661,0.426
662,0.423
663,0.418
664,0.415
665,0.413
666,0.41
667,0.408
668,0.406
669,0.405
670,0.403
671,0.402
672,0.401
673,0.4
674,0.399
675,0.398
676,0.396
677,0.396
678,0.396
679,0.395
680,0.394
681,0.394
682,0.393
683,0.393
684,0.391
685,0.392
686,0.392
687,0.391
688,0.391
689,0.391
690,0.391
691,0.389
692,0.388
693,0.389
694,0.388
695,0.388
696,0.388
697,0.388
698,0.388
699,0.388
700,0.388
701,0.517
702,0.476
703,0.477
704,0.477
705,0.472
706,0.462
707,0.451
708,0.443
709,0.436
710,0.431
711,0.425
712,0.423
713,0.418
714,0.414
715,0.412
716,0.41
717,0.407
718,0.405
719,0.404
720,0.402
721,0.399
722,0.399
723,0.398
724,0.398
725,0.397
726,0.396
727,0.396
728,0.394
729,0.395
730,0.394
731,0.393
732,0.393
733,0.392
734,0.392
735,0.391
736,0.39
737,0.391
738,0.39
739,0.389
740,0.389
741,0.388
742,0.388
743,0.389
744,0.388
745,0.387
746,0.387
747,0.387
748,0.388
749,0.387
750,0.386
751,0.517
752,0.474
753,0.476
754,0.476
755,0.472
756,0.461
757,0.451
758,0.442
759,0.436
760,0.43
761,0.425
762,0.42
763,0.417
764,0.414
765,0.411
766,0.41
767,0.407
768,0.404
769,0.402
770,0.401
771,0.4
772,0.398
773,0.397
774,0.397
775,0.396
776,0.396
777,0.395
778,0.394
779,0.394
780,0.393
781,0.393
782,0.392
783,0.391
784,0.391
785,0.39
786,0.39
787,0.39
788,0.389
789,0.388
790,0.388
791,0.388
792,0.388
793,0.387
794,0.386
795,0.387
796,0.387
797,0.387
798,0.386
799,0.386
800,0.386
801,0.515
802,0.472
803,0.474
804,0.474
805,0.47
806,0.46
807,0.449
808,0.442
809,0.434
810,0.429
811,0.424
812,0.42
813,0.416
814,0.412
815,0.411
816,0.408
817,0.407
818,0.403
819,0.403
820,0.4
821,0.398
822,0.398
823,0.398
824,0.397
825,0.395
826,0.395
827,0.394
828,0.393
829,0.393
830,0.391
831,0.391
832,0.39
833,0.39
834,0.391
835,0.389
836,0.389
837,0.389
838,0.388
839,0.388
840,0.387
841,0.387
842,0.387
843,0.387
844,0.387
845,0.386
846,0.386
847,0.386
848,0.386
849,0.386
850,0.386
851,0.514
852,0.471
853,0.472
854,0.473
855,0.469
856,0.46
857,0.449
858,0.441
859,0.435
860,0.429
861,0.423
862,0.418
863,0.415
864,0.412
865,0.409
866,0.407
867,0.405
868,0.403
869,0.401
870,0.4
871,0.399
872,0.398
873,0.396
874,0.396
875,0.396
876,0.394
877,0.393
878,0.393
879,0.393
880,0.391
881,0.39
882,0.39
883,0.39
884,0.39
885,0.389
886,0.389
887,0.389
888,0.388
889,0.387
890,0.388
891,0.387
892,0.386
893,0.386
894,0.385
895,0.386
896,0.386
897,0.386
898,0.385
899,0.385
900,0.385
901,0.512
902,0.469
903,0.471
904,0.472
905,0.467
906,0.459
907,0.449
908,0.441
909,0.434
910,0.428
911,0.423
912,0.419
913,0.415
914,0.412
915,0.409
916,0.406
917,0.405
918,0.403
919,0.402
920,0.4
921,0.398
922,0.397
923,0.396
924,0.395
925,0.395
926,0.393
927,0.392
928,0.392
929,0.393
930,0.391
931,0.39
932,0.391
933,0.39
934,0.39
935,0.39
936,0.389
937,0.388
938,0.388
939,0.388
940,0.386
941,0.388
942,0.386
943,0.387
944,0.386
945,0.386
946,0.385
947,0.385
948,0.385
949,0.384
950,0.385
951,0.512
952,0.467
953,0.469
954,0.471
955,0.466
956,0.458
957,0.449
958,0.441
959,0.434
960,0.428
961,0.423
962,0.419
963,0.415
964,0.411
965,0.409
966,0.406
967,0.405
968,0.403
969,0.401
970,0.4
971,0.397
972,0.396
973,0.396
974,0.395
975,0.394
976,0.393
977,0.393
978,0.391
979,0.391
980,0.392
981,0.39
982,0.391
983,0.389
984,0.389
985,0.389
986,0.388
987,0.387
988,0.388
989,0.387
990,0.387
991,0.387
992,0.386
993,0.385
994,0.386
995,0.385
996,0.385
997,0.385
998,0.385
999,0.385
1000,0.384
1001,0.511
1002,0.465
1003,0.466
1004,0.47
1005,0.466
1006,0.457
1007,0.448
1008,0.44
1009,0.434
1010,0.428
1011,0.423
1012,0.419
1013,0.416
1014,0.412
1015,0.408
1016,0.405
1017,0.404
1018,0.402
1019,0.4
1020,0.399
1021,0.398
1022,0.396
1023,0.395
1024,0.394
1025,0.394
1026,0.393
1027,0.393
1028,0.392
1029,0.39
1030,0.39
1031,0.39
1032,0.39
1033,0.39
1034,0.388
1035,0.386
1036,0.388
1037,0.388
1038,0.387
1039,0.387
1040,0.386
1041,0.387
1042,0.386
1043,0.386
1044,0.385
1045,0.384
1046,0.385
1047,0.384
1048,0.385
1049,0.384
1050,0.384
1051,0.511
1052,0.465
1053,0.467
1054,0.469
1055,0.466
1056,0.457
1057,0.449
1058,0.44
1059,0.434
1060,0.429
1061,0.424
1062,0.419
1063,0.414
1064,0.412
1065,0.41
1066,0.406
1067,0.405
1068,0.401
1069,0.4
1070,0.399
1071,0.398
1072,0.397
1073,0.396
1074,0.393
1075,0.394
1076,0.393
1077,0.393
1078,0.391
1079,0.392
1080,0.391
1081,0.39
1082,0.388
1083,0.388
1084,0.388
1085,0.387
1086,0.388
1087,0.387
1088,0.388
1089,0.388
1090,0.386
1091,0.387
1092,0.386
1093,0.386
1094,0.384
1095,0.385
1096,0.384
1097,0.384
1098,0.385
1099,0.383
1100,0.384
1101,0.511
1102,0.464
1103,0.467
1104,0.468
1105,0.465
1106,0.458
1107,0.446
1108,0.44
1109,0.435
1110,0.43
1111,0.424
1112,0.419
1113,0.415
1114,0.412
1115,0.409
1116,0.407
1117,0.404
1118,0.402
1119,0.401
1120,0.399
1121,0.398
1122,0.397
1123,0.395
1124,0.394
1125,0.393
1126,0.393
1127,0.392
1128,0.391
1129,0.39
1130,0.391
1131,0.391
1132,0.39
1133,0.389
1134,0.388
1135,0.389
1136,0.389
1137,0.388
1138,0.388
1139,0.387
1140,0.386
1141,0.387
1142,0.387
1143,0.386
1144,0.385
1145,0.385
1146,0.385
1147,0.383
1148,0.385
1149,0.383
1150,0.383
1151,0.51
1152,0.462
1153,0.465
1154,0.467
1155,0.465
1156,0.457
1157,0.448
1158,0.44
1159,0.436
1160,0.43
1161,0.424
1162,0.421
1163,0.417
1164,0.413
1165,0.409
1166,0.407
1167,0.404
1168,0.403
1169,0.402
1170,0.399
1171,0.397
1172,0.397
1173,0.396
1174,0.395
1175,0.393
1176,0.393
1177,0.392
1178,0.392
1179,0.39
1180,0.391
1181,0.391
1182,0.389
1183,0.389
1184,0.389
1185,0.388
1186,0.387
1187,0.387
1188,0.387
1189,0.387
1190,0.386
1191,0.385
1192,0.385
1193,0.386
1194,0.386
1195,0.386
1196,0.384
1197,0.384
1198,0.384
1199,0.384
1200,0.384
1201,0.509
1202,0.463
1203,0.464
1204,0.467
1205,0.465
1206,0.458
1207,0.449
1208,0.442
1209,0.436
1210,0.431
1211,0.426
1212,0.421
1213,0.416
1214,0.413
1215,0.411
1216,0.408
1217,0.404
1218,0.404
1219,0.402
1220,0.4
1221,0.398
1222,0.396
1223,0.396
1224,0.395
1225,0.394
1226,0.392
1227,0.392
1228,0.392
1229,0.392
1230,0.391
1231,0.391
1232,0.389
1233,0.39
1234,0.39
1235,0.388
1236,0.388
1237,0.388
1238,0.387
1239,0.386
1240,0.387
1241,0.387
1242,0.386
1243,0.385
1244,0.385
1245,0.384
1246,0.385
1247,0.385
1248,0.383
1249,0.384
1250,0.384
1251,0.505
1252,0.463
1253,0.463
1254,0.463
1255,0.459
1256,0.45
1257,0.44
1258,0.433
1259,0.425
1260,0.419
1261,0.416
1262,0.413
1263,0.408
1264,0.406
1265,0.403
1266,0.401
1267,0.4
1268,0.398
1269,0.398
1270,0.396
1271,0.395
1272,0.393
1273,0.393
1274,0.392
1275,0.391
1276,0.391
1277,0.39
1278,0.39
1279,0.39
1280,0.389
1281,0.388
1282,0.388
1283,0.388
1284,0.387
1285,0.387
1286,0.386
1287,0.386
1288,0.385
1289,0.385
1290,0.385
1291,0.385
1292,0.384
1293,0.384
1294,0.383
1295,0.384
1296,0.384
1297,0.382
1298,0.383
1299,0.383
1300,0.383
1301,0.507
1302,0.459
1303,0.462
1304,0.464
1305,0.463
1306,0.456
1307,0.449
1308,0.442
1309,0.436
1310,0.431
1311,0.426
1312,0.421
1313,0.417
1314,0.413
1315,0.409
1316,0.407
1317,0.405
1318,0.403
1319,0.401
1320,0.399
1321,0.399
1322,0.398
1323,0.396
1324,0.394
1325,0.394
1326,0.393
1327,0.392
1328,0.391
1329,0.39
1330,0.39
1331,0.389
1332,0.389
1333,0.389
1334,0.388
1335,0.388
1336,0.387
1337,0.388
1338,0.387
1339,0.386
1340,0.386
1341,0.386
1342,0.387
1343,0.386
1344,0.386
1345,0.385
1346,0.385
1347,0.385
1348,0.384
1349,0.384
1350,0.384
1351,0.507
1352,0.459
1353,0.462
1354,0.467
1355,0.464
1356,0.458
1357,0.45
1358,0.442
1359,0.437
1360,0.431
1361,0.426
1362,0.422
1363,0.418
1364,0.415
1365,0.411
1366,0.409
1367,0.406
1368,0.404
1369,0.402
1370,0.4
1371,0.399
1372,0.398
1373,0.396
1374,0.395
1375,0.393
1376,0.393
1377,0.393
1378,0.392
1379,0.392
1380,0.39
1381,0.39
1382,0.39
1383,0.389
1384,0.389
1385,0.389
1386,0.388
1387,0.389
1388,0.387
1389,0.387
1390,0.387
1391,0.386
1392,0.386
1393,0.387
1394,0.386
1395,0.385
1396,0.384
1397,0.385
1398,0.385
1399,0.385
1400,0.385
1401,0.508
1402,0.46
1403,0.463
1404,0.465
1405,0.465
1406,0.459
1407,0.451
1408,0.444
1409,0.438
1410,0.433
1411,0.427
1412,0.422
1413,0.419
1414,0.415
1415,0.412
1416,0.41
1417,0.406
1418,0.404
1419,0.402
1420,0.401
1421,0.4
1422,0.398
1423,0.397
1424,0.396
1425,0.396
1426,0.395
1427,0.394
1428,0.393
1429,0.391
1430,0.391
1431,0.391
1432,0.391
1433,0.39
1434,0.39
1435,0.389
1436,0.389
1437,0.39
1438,0.388
1439,0.389
1440,0.387
1441,0.387
1442,0.387
1443,0.387
1444,0.386
1445,0.386
1446,0.385
1447,0.385
1448,0.385
1449,0.384
1450,0.386
1451,0.509
1452,0.459
1453,0.464
1454,0.466
1455,0.465
1456,0.459
1457,0.452
1458,0.445
1459,0.439
1460,0.434
1461,0.428
1462,0.424
1463,0.421
1464,0.417
1465,0.414
1466,0.411
1467,0.408
1468,0.406
1469,0.403
1470,0.402
1471,0.401
1472,0.399
1473,0.398
1474,0.396
1475,0.395
1476,0.395
1477,0.395
1478,0.394
1479,0.393
1480,0.392
1481,0.391
1482,0.391
1483,0.39
1484,0.39
1485,0.39
1486,0.39
1487,0.389
1488,0.388
1489,0.388
1490,0.388
1491,0.387
1492,0.387
1493,0.387
1494,0.387
1495,0.387
1496,0.387
1497,0.386
1498,0.385
1499,0.386
1500,0.385
1501,0.508
1502,0.46
1503,0.463
1504,0.466
1505,0.466
1506,0.46
1507,0.452
1508,0.446
1509,0.44
1510,0.434
1511,0.428
1512,0.425
1513,0.422
1514,0.418
1515,0.414
1516,0.411
1517,0.409
1518,0.407
1519,0.405
1520,0.403
1521,0.4
1522,0.399
1523,0.399
1524,0.398
1525,0.397
1526,0.396
1527,0.393
1528,0.394
1529,0.395
1530,0.393
1531,0.393
1532,0.392
1533,0.391
1534,0.391
1535,0.39
1536,0.389
1537,0.389
1538,0.389
1539,0.389
1540,0.388
1541,0.389
1542,0.388
1543,0.388
1544,0.386
1545,0.387
1546,0.386
1547,0.387
1548,0.386
1549,0.386
1550,0.385
1551,0.508
1552,0.46
1553,0.464
1554,0.468
1555,0.466
1556,0.461
1557,0.453
1558,0.446
1559,0.441
1560,0.435
1561,0.431
1562,0.426
1563,0.422
1564,0.419
1565,0.416
1566,0.412
1567,0.41
1568,0.407
1569,0.404
1570,0.402
1571,0.401
1572,0.4
1573,0.398
1574,0.399
1575,0.397
1576,0.397
1577,0.395
1578,0.396
1579,0.395
1580,0.393
1581,0.393
1582,0.392
1583,0.391
1584,0.391
1585,0.391
1586,0.39
1587,0.39
1588,0.389
1589,0.389
1590,0.39
1591,0.389
1592,0.388
1593,0.389
1594,0.388
1595,0.387
1596,0.387
1597,0.387
1598,0.386
1599,0.386
1600,0.386
1601,0.508
1602,0.46
1603,0.464
1604,0.468
1605,0.467
1606,0.462
1607,0.454
1608,0.447
1609,0.442
1610,0.438
1611,0.431
1612,0.428
1613,0.424
1614,0.42
1615,0.416
1616,0.414
1617,0.41
1618,0.408
1619,0.406
1620,0.404
1621,0.403
1622,0.401
1623,0.399
1624,0.399
1625,0.398
1626,0.397
1627,0.396
1628,0.394
1629,0.395
1630,0.393
1631,0.392
1632,0.393
1633,0.393
1634,0.392
1635,0.391
1636,0.39
1637,0.39
1638,0.391
1639,0.39
1640,0.39
1641,0.389
1642,0.389
1643,0.389
1644,0.388
1645,0.388
1646,0.387
1647,0.388
1648,0.387
1649,0.386
1650,0.387
1651,0.508
1652,0.461
1653,0.464
1654,0.468
1655,0.467
1656,0.461
1657,0.454
1658,0.447
1659,0.442
1660,0.437
1661,0.433
1662,0.428
1663,0.424
1664,0.421
1665,0.418
1666,0.414
1667,0.411
1668,0.41
1669,0.408
1670,0.404
1671,0.402
1672,0.401
1673,0.4
1674,0.398
1675,0.397
1676,0.398
1677,0.397
1678,0.395
1679,0.395
1680,0.394
1681,0.393
1682,0.393
1683,0.393
1684,0.391
1685,0.392
1686,0.391
1687,0.39
1688,0.39
1689,0.39
1690,0.389
1691,0.389
1692,0.389
1693,0.389
1694,0.388
1695,0.387
1696,0.388
1697,0.388
1698,0.387
1699,0.387
1700,0.386
1701,0.508
1702,0.462
1703,0.465
1704,0.468
1705,0.468
1706,0.462
1707,0.456
1708,0.448
1709,0.443
1710,0.438
1711,0.433
1712,0.429
1713,0.424
1714,0.421
1715,0.417
1716,0.414
1717,0.412
1718,0.409
1719,0.406
1720,0.405
1721,0.403
1722,0.402
1723,0.401
1724,0.399
1725,0.398
1726,0.397
1727,0.398
1728,0.397
1729,0.396
1730,0.395
1731,0.394
1732,0.394
1733,0.392
1734,0.393
1735,0.392
1736,0.391
1737,0.392
1738,0.392
1739,0.39
1740,0.39
1741,0.389
1742,0.389
1743,0.389
1744,0.39
1745,0.388
1746,0.388
1747,0.389
1748,0.387
1749,0.387
1750,0.387
1751,0.508
1752,0.461
1753,0.465
1754,0.469
1755,0.468
1756,0.463
1757,0.456
1758,0.448
1759,0.445
1760,0.439
1761,0.434
1762,0.43
1763,0.427
1764,0.422
1765,0.419
1766,0.416
1767,0.414
1768,0.41
1769,0.408
1770,0.406
1771,0.404
1772,0.402
1773,0.402
1774,0.401
1775,0.398
1776,0.4
1777,0.399
1778,0.397
1779,0.397
1780,0.395
1781,0.395
1782,0.394
1783,0.394
1784,0.392
1785,0.393
1786,0.392
1787,0.39
1788,0.391
1789,0.391
1790,0.39
1791,0.391
1792,0.39
1793,0.39
1794,0.388
1795,0.39
1796,0.388
1797,0.388
1798,0.388
1799,0.388
1800,0.388
1801,0.509
1802,0.462
1803,0.465
1804,0.47
1805,0.468
1806,0.464
1807,0.458
1808,0.45
1809,0.446
1810,0.44
1811,0.435
1812,0.43
1813,0.427
1814,0.423
1815,0.42
1816,0.416
1817,0.414
1818,0.412
1819,0.408
1820,0.406
1821,0.405
1822,0.403
1823,0.402
1824,0.401
1825,0.4
1826,0.399
1827,0.398
1828,0.398
1829,0.396
1830,0.395
1831,0.395
1832,0.395
1833,0.394
1834,0.395
1835,0.393
1836,0.393
1837,0.393
1838,0.392
1839,0.392
1840,0.391
1841,0.391
1842,0.391
1843,0.39
1844,0.39
1845,0.388
1846,0.389
1847,0.388
1848,0.389
1849,0.388
1850,0.389
1851,0.509
1852,0.462
1853,0.464
1854,0.469
1855,0.468
1856,0.463
1857,0.457
1858,0.451
1859,0.446
1860,0.44
1861,0.437
1862,0.432
1863,0.428
1864,0.424
1865,0.421
1866,0.417
1867,0.414
1868,0.412
1869,0.409
1870,0.408
1871,0.406
1872,0.405
1873,0.403
1874,0.403
1875,0.401
1876,0.401
1877,0.399
1878,0.398
1879,0.396
1880,0.396
1881,0.396
1882,0.396
1883,0.395
1884,0.394
1885,0.394
1886,0.392
1887,0.392
1888,0.392
1889,0.392
1890,0.391
1891,0.39
1892,0.391
1893,0.391
1894,0.39
1895,0.39
1896,0.39
1897,0.39
1898,0.389
1899,0.388
1900,0.389
1901,0.509
1902,0.462
1903,0.465
1904,0.47
1905,0.469
1906,0.464
1907,0.458
1908,0.451
1909,0.446
1910,0.442
1911,0.438
1912,0.433
1913,0.428
1914,0.426
1915,0.422
1916,0.418
1917,0.415
1918,0.413
1919,0.411
1920,0.408
1921,0.407
1922,0.404
1923,0.403
1924,0.402
1925,0.403
1926,0.4
1927,0.4
1928,0.398
1929,0.397
1930,0.397
1931,0.397
1932,0.395
1933,0.396
1934,0.394
1935,0.393
1936,0.393
1937,0.393
1938,0.393
1939,0.393
1940,0.392
1941,0.392
1942,0.391
1943,0.39
1944,0.39
1945,0.39
1946,0.39
1947,0.39
1948,0.389
1949,0.388
1950,0.389
1951,0.509
1952,0.462
1953,0.466
1954,0.469
1955,0.469
1956,0.465
1957,0.459
1958,0.452
1959,0.447
1960,0.442
1961,0.439
1962,0.433
1963,0.429
1964,0.427
1965,0.422
1966,0.419
1967,0.417
1968,0.414
1969,0.412
1970,0.41
1971,0.408
1972,0.406
1973,0.405
1974,0.403
1975,0.401
1976,0.401
1977,0.4
1978,0.4
1979,0.399
1980,0.397
1981,0.396
1982,0.397
1983,0.395
1984,0.395
1985,0.396
1986,0.394
1987,0.394
1988,0.394
1989,0.392
1990,0.393
1991,0.393
1992,0.391
1993,0.392
1994,0.391
1995,0.391
1996,0.39
1997,0.391
1998,0.391
1999,0.39
2000,0.389
2001,0.509
2002,0.464
2003,0.466
2004,0.47
2005,0.47
2006,0.465
2007,0.458
2008,0.454
2009,0.449
2010,0.444
2011,0.439
2012,0.434
2013,0.43
2014,0.427
2015,0.423
2016,0.42
2017,0.417
2018,0.415
2019,0.412
2020,0.411
2021,0.407
2022,0.407
2023,0.405
2024,0.404
2025,0.404
2026,0.402
2027,0.4
2028,0.399
2029,0.398
2030,0.399
2031,0.398
2032,0.397
2033,0.396
2034,0.395
2035,0.395
2036,0.394
2037,0.394
2038,0.395
2039,0.394
2040,0.393
2041,0.393
2042,0.393
2043,0.392
2044,0.391
2045,0.391
2046,0.391
2047,0.391
2048,0.391
2049,0.391
2050,0.389
2051,0.509
2052,0.464
2053,0.466
2054,0.471
2055,0.47
2056,0.464
2057,0.459
2058,0.454
2059,0.449
2060,0.443
2061,0.438
2062,0.435
2063,0.432
2064,0.428
2065,0.424
2066,0.421
2067,0.417
2068,0.415
2069,0.413
2070,0.411
2071,0.41
2072,0.407
2073,0.406
2074,0.405
2075,0.402
2076,0.403
2077,0.401
2078,0.4
2079,0.399
2080,0.398
2081,0.397
2082,0.398
2083,0.397
2084,0.397
2085,0.396
2086,0.395
2087,0.394
2088,0.394
2089,0.394
2090,0.393
2091,0.393
2092,0.393
2093,0.393
2094,0.392
2095,0.391
2096,0.391
2097,0.391
2098,0.39
2099,0.391
2100,0.39
2101,0.509
2102,0.465
2103,0.466
2104,0.47
2105,0.47
2106,0.465
2107,0.46
2108,0.454
2109,0.449
2110,0.445
2111,0.44
2112,0.436
2113,0.431
2114,0.428
2115,0.425
2116,0.422
2117,0.419
2118,0.417
2119,0.414
2120,0.412
2121,0.41
2122,0.408
2123,0.407
2124,0.405
2125,0.404
2126,0.403
2127,0.403
2128,0.402
2129,0.401
2130,0.4
2131,0.399
2132,0.398
2133,0.398
2134,0.397
2135,0.396
2136,0.396
2137,0.394
2138,0.395
2139,0.395
2140,0.393
